2026-04-26T00:31:25.818138425Z [info] INFO:     100.64.0.11:19358 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T01:14:07.717897721Z [info] INFO:     100.64.0.30:33164 - "GET / HTTP/1.1" 200 OK
2026-04-26T01:36:38.377010694Z [info] INFO:     100.64.0.8:26826 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T02:40:41.673421906Z [info] INFO:     100.64.0.8:47112 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T03:47:35.182884224Z [info] INFO:     100.64.0.14:47194 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T04:02:06.094802028Z [info] INFO:     100.64.0.28:36306 - "GET / HTTP/1.1" 200 OK
2026-04-26T04:46:18.020723411Z [info] INFO:     100.64.0.20:40976 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T05:49:31.110294921Z [info] INFO:     100.64.0.34:50300 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T06:18:52.194809697Z [error] 2026-04-26 06:18:44,706 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/psi/scores "HTTP/1.1 200 "
2026-04-26T06:18:52.195956858Z [error] 2026-04-26 06:18:48,431 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USD1 params={'format': 'json'}
2026-04-26T06:18:52.195960802Z [error] 2026-04-26 06:18:51,991 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USD1?format=json "HTTP/1.1 200 "
2026-04-26T06:18:52.195963850Z [error] 2026-04-26 06:18:51,992 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USD1 200 (4511 bytes)
2026-04-26T06:18:52.195966871Z [error] 2026-04-26 06:18:51,992 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDC params={'format': 'json'}
2026-04-26T06:18:55.645896387Z [error] 2026-04-26 06:18:55,642 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDC?format=json "HTTP/1.1 200 "
2026-04-26T06:18:55.645901287Z [error] 2026-04-26 06:18:55,643 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDC 200 (31828 bytes)
2026-04-26T06:18:55.645905670Z [error] 2026-04-26 06:18:55,644 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDS params={'format': 'json'}
2026-04-26T06:18:59.436781794Z [error] 2026-04-26 06:18:59,434 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDS?format=json "HTTP/1.1 200 "
2026-04-26T06:18:59.438677666Z [error] 2026-04-26 06:18:59,435 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDS 200 (2734 bytes)
2026-04-26T06:18:59.438683306Z [error] 2026-04-26 06:18:59,435 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/RLUSD params={'format': 'json'}
2026-04-26T06:19:03.162664032Z [error] 2026-04-26 06:19:02,986 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/RLUSD?format=json "HTTP/1.1 200 "
2026-04-26T06:19:03.162668960Z [error] 2026-04-26 06:19:02,987 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/RLUSD 200 (2807 bytes)
2026-04-26T06:19:03.162673202Z [error] 2026-04-26 06:19:02,987 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDP params={'format': 'json'}
2026-04-26T06:19:06.550488684Z [error] 2026-04-26 06:19:06,547 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDP?format=json "HTTP/1.1 200 "
2026-04-26T06:19:06.550493368Z [error] 2026-04-26 06:19:06,548 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDP 200 (3138 bytes)
2026-04-26T06:19:06.550497288Z [error] 2026-04-26 06:19:06,548 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/DAI params={'format': 'json'}
2026-04-26T06:19:09.784234473Z [error] 2026-04-26 06:19:09,780 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/DAI?format=json "HTTP/1.1 200 "
2026-04-26T06:19:09.784240409Z [error] 2026-04-26 06:19:09,781 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/DAI 200 (3686 bytes)
2026-04-26T06:19:09.784244873Z [error] 2026-04-26 06:19:09,781 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FDUSD params={'format': 'json'}
2026-04-26T06:19:13.444947015Z [error] 2026-04-26 06:19:13,441 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FDUSD?format=json "HTTP/1.1 200 "
2026-04-26T06:19:13.444951539Z [error] 2026-04-26 06:19:13,442 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FDUSD 200 (29274 bytes)
2026-04-26T06:19:13.453291543Z [error] 2026-04-26 06:19:13,449 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDTB params={'format': 'json'}
2026-04-26T06:19:17.184195853Z [error] 2026-04-26 06:19:17,007 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDTB?format=json "HTTP/1.1 200 "
2026-04-26T06:19:17.184200137Z [error] 2026-04-26 06:19:17,008 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDTB 200 (2434 bytes)
2026-04-26T06:19:17.184204698Z [error] 2026-04-26 06:19:17,008 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDD params={'format': 'json'}
2026-04-26T06:19:20.556071368Z [error] 2026-04-26 06:19:20,552 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDD?format=json "HTTP/1.1 200 "
2026-04-26T06:19:20.556075184Z [error] 2026-04-26 06:19:20,553 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDD 200 (2993 bytes)
2026-04-26T06:19:20.556078711Z [error] 2026-04-26 06:19:20,553 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/TUSD params={'format': 'json'}
2026-04-26T06:19:20.583070069Z [error] 2026-04-26 06:19:20,579 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/TUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:19:20.583075809Z [error] 2026-04-26 06:19:20,579 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/TUSD 429 (56 bytes)
2026-04-26T06:19:20.583079403Z [error] 2026-04-26 06:19:20,579 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:20.583082457Z [error] 2026-04-26 06:19:20,579 WARNING [basis_state] Failed to fetch history for stablecoin:TUSD
2026-04-26T06:19:20.583097299Z [error] 2026-04-26 06:19:20,579 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/GHO params={'format': 'json'}
2026-04-26T06:19:20.604659357Z [error] 2026-04-26 06:19:20,602 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/GHO?format=json "HTTP/1.1 429 "
2026-04-26T06:19:20.607251294Z [error] 2026-04-26 06:19:20,602 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/GHO 429 (56 bytes)
2026-04-26T06:19:20.607259146Z [error] 2026-04-26 06:19:20,603 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:20.607264267Z [error] 2026-04-26 06:19:20,603 WARNING [basis_state] Failed to fetch history for stablecoin:GHO
2026-04-26T06:19:20.607269486Z [error] 2026-04-26 06:19:20,603 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/PYUSD params={'format': 'json'}
2026-04-26T06:19:24.224584072Z [error] 2026-04-26 06:19:23,828 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/PYUSD?format=json "HTTP/1.1 200 "
2026-04-26T06:19:24.224592475Z [error] 2026-04-26 06:19:23,829 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/PYUSD 200 (4981 bytes)
2026-04-26T06:19:24.224596866Z [error] 2026-04-26 06:19:23,829 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDe params={'format': 'json'}
2026-04-26T06:19:27.246950248Z [error] 2026-04-26 06:19:27,060 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDe?format=json "HTTP/1.1 200 "
2026-04-26T06:19:27.246955676Z [error] 2026-04-26 06:19:27,061 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDe 200 (6391 bytes)
2026-04-26T06:19:27.246960092Z [error] 2026-04-26 06:19:27,062 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/MUSD params={'format': 'json'}
2026-04-26T06:19:27.246964776Z [error] 2026-04-26 06:19:27,102 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/MUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:19:27.246968788Z [error] 2026-04-26 06:19:27,102 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/MUSD 429 (56 bytes)
2026-04-26T06:19:27.246972177Z [error] 2026-04-26 06:19:27,103 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:27.246975877Z [error] 2026-04-26 06:19:27,103 WARNING [basis_state] Failed to fetch history for stablecoin:MUSD
2026-04-26T06:19:27.246979827Z [error] 2026-04-26 06:19:27,103 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX params={'format': 'json'}
2026-04-26T06:19:30.332430005Z [error] 2026-04-26 06:19:30,330 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX?format=json "HTTP/1.1 200 "
2026-04-26T06:19:30.332436175Z [error] 2026-04-26 06:19:30,330 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FRAX 200 (2793 bytes)
2026-04-26T06:19:30.334166031Z [error] 2026-04-26 06:19:30,330 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/LUSD params={'format': 'json'}
2026-04-26T06:19:30.357967689Z [error] 2026-04-26 06:19:30,356 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/LUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:19:30.359788636Z [error] 2026-04-26 06:19:30,356 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/LUSD 429 (56 bytes)
2026-04-26T06:19:30.359793292Z [error] 2026-04-26 06:19:30,356 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:30.359796482Z [error] 2026-04-26 06:19:30,357 WARNING [basis_state] Failed to fetch history for stablecoin:LUSD
2026-04-26T06:19:30.359799806Z [error] 2026-04-26 06:19:30,357 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/DOLA params={'format': 'json'}
2026-04-26T06:19:33.579968599Z [error] 2026-04-26 06:19:33,576 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/DOLA?format=json "HTTP/1.1 200 "
2026-04-26T06:19:33.579973623Z [error] 2026-04-26 06:19:33,577 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/DOLA 200 (3184 bytes)
2026-04-26T06:19:33.579977235Z [error] 2026-04-26 06:19:33,577 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/crvUSD params={'format': 'json'}
2026-04-26T06:19:33.616593459Z [error] 2026-04-26 06:19:33,614 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/crvUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:19:33.618400367Z [error] 2026-04-26 06:19:33,615 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/crvUSD 429 (56 bytes)
2026-04-26T06:19:33.618404245Z [error] 2026-04-26 06:19:33,615 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:33.618407065Z [error] 2026-04-26 06:19:33,615 WARNING [basis_state] Failed to fetch history for stablecoin:crvUSD
2026-04-26T06:19:33.618411016Z [error] 2026-04-26 06:19:33,615 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDS params={'format': 'json'}
2026-04-26T06:19:36.841528107Z [error] 2026-04-26 06:19:36,838 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDS?format=json "HTTP/1.1 200 "
2026-04-26T06:19:36.841532159Z [error] 2026-04-26 06:19:36,839 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SUSDS 200 (2771 bytes)
2026-04-26T06:19:36.841535353Z [error] 2026-04-26 06:19:36,839 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURC params={'format': 'json'}
2026-04-26T06:19:40.225584142Z [error] 2026-04-26 06:19:40,066 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/EURC?format=json "HTTP/1.1 200 "
2026-04-26T06:19:40.225593340Z [error] 2026-04-26 06:19:40,067 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/EURC 200 (2945 bytes)
2026-04-26T06:19:40.225598137Z [error] 2026-04-26 06:19:40,067 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/GUSD params={'format': 'json'}
2026-04-26T06:19:40.225602926Z [error] 2026-04-26 06:19:40,095 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/GUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:19:40.225607062Z [error] 2026-04-26 06:19:40,095 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/GUSD 429 (56 bytes)
2026-04-26T06:19:40.225610717Z [error] 2026-04-26 06:19:40,095 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:19:40.225614803Z [error] 2026-04-26 06:19:40,096 WARNING [basis_state] Failed to fetch history for stablecoin:GUSD
2026-04-26T06:19:40.225618329Z [error] 2026-04-26 06:19:40,096 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDE params={'format': 'json'}
2026-04-26T06:19:43.335459276Z [error] 2026-04-26 06:19:43,331 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SUSDE?format=json "HTTP/1.1 200 "
2026-04-26T06:19:43.335465212Z [error] 2026-04-26 06:19:43,332 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SUSDE 200 (2947 bytes)
2026-04-26T06:19:43.335469490Z [error] 2026-04-26 06:19:43,332 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/STKGHO params={'format': 'json'}
2026-04-26T06:19:46.824616275Z [error] 2026-04-26 06:19:46,821 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/STKGHO?format=json "HTTP/1.1 200 "
2026-04-26T06:19:46.824620120Z [error] 2026-04-26 06:19:46,822 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/STKGHO 200 (2291 bytes)
2026-04-26T06:19:46.824622955Z [error] 2026-04-26 06:19:46,822 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURI params={'format': 'json'}
2026-04-26T06:19:50.232404276Z [error] 2026-04-26 06:19:50,036 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/EURI?format=json "HTTP/1.1 200 "
2026-04-26T06:19:50.232409669Z [error] 2026-04-26 06:19:50,037 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/EURI 200 (2343 bytes)
2026-04-26T06:19:50.232414599Z [error] 2026-04-26 06:19:50,037 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/BUSD0 params={'format': 'json'}
2026-04-26T06:19:53.630012610Z [error] 2026-04-26 06:19:53,628 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/BUSD0?format=json "HTTP/1.1 200 "
2026-04-26T06:19:53.631924820Z [error] 2026-04-26 06:19:53,628 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/BUSD0 200 (10170 bytes)
2026-04-26T06:19:53.631928479Z [error] 2026-04-26 06:19:53,629 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC params={'format': 'json'}
2026-04-26T06:19:57.236982159Z [error] 2026-04-26 06:19:57,158 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC?format=json "HTTP/1.1 200 "
2026-04-26T06:19:57.236986210Z [error] 2026-04-26 06:19:57,158 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/STEAKUSDC 200 (2335 bytes)
2026-04-26T06:19:57.236989820Z [error] 2026-04-26 06:19:57,159 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/MIM params={'format': 'json'}
2026-04-26T06:20:00.707342108Z [error] 2026-04-26 06:20:00,703 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/MIM?format=json "HTTP/1.1 200 "
2026-04-26T06:20:00.707349741Z [error] 2026-04-26 06:20:00,703 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/MIM 200 (2817 bytes)
2026-04-26T06:20:00.707355174Z [error] 2026-04-26 06:20:00,704 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/SDOLA params={'format': 'json'}
2026-04-26T06:20:04.249913556Z [error] 2026-04-26 06:20:04,246 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/SDOLA?format=json "HTTP/1.1 200 "
2026-04-26T06:20:04.251205597Z [error] 2026-04-26 06:20:04,246 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/SDOLA 200 (2615 bytes)
2026-04-26T06:20:04.251210480Z [error] 2026-04-26 06:20:04,247 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/OUSD params={'format': 'json'}
2026-04-26T06:20:04.274990282Z [error] 2026-04-26 06:20:04,272 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/OUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:20:04.274996406Z [error] 2026-04-26 06:20:04,272 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/OUSD 429 (56 bytes)
2026-04-26T06:20:04.275000787Z [error] 2026-04-26 06:20:04,272 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:20:04.275004254Z [error] 2026-04-26 06:20:04,272 WARNING [basis_state] Failed to fetch history for stablecoin:OUSD
2026-04-26T06:20:04.275007625Z [error] 2026-04-26 06:20:04,272 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX params={'format': 'json'}
2026-04-26T06:20:04.303538056Z [error] 2026-04-26 06:20:04,299 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/FRAX?format=json "HTTP/1.1 429 "
2026-04-26T06:20:04.303547284Z [error] 2026-04-26 06:20:04,300 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/FRAX 429 (56 bytes)
2026-04-26T06:20:04.303551929Z [error] 2026-04-26 06:20:04,300 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:20:04.303555401Z [error] 2026-04-26 06:20:04,300 WARNING [basis_state] Failed to fetch history for stablecoin:FRAX
2026-04-26T06:20:04.303559250Z [error] 2026-04-26 06:20:04,300 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/sUSD params={'format': 'json'}
2026-04-26T06:20:04.333787245Z [error] 2026-04-26 06:20:04,331 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/sUSD?format=json "HTTP/1.1 429 "
2026-04-26T06:20:04.333792855Z [error] 2026-04-26 06:20:04,331 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/sUSD 429 (56 bytes)
2026-04-26T06:20:04.333796859Z [error] 2026-04-26 06:20:04,331 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:20:04.333800177Z [error] 2026-04-26 06:20:04,331 WARNING [basis_state] Failed to fetch history for stablecoin:sUSD
2026-04-26T06:20:04.333804145Z [error] 2026-04-26 06:20:04,331 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDD (BTTC bridge) params={'format': 'json'}
2026-04-26T06:20:07.871897767Z [error] 2026-04-26 06:20:07,868 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDD%20(BTTC%20bridge)?format=json "HTTP/1.1 200 "
2026-04-26T06:20:07.871903078Z [error] 2026-04-26 06:20:07,869 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDD (BTTC bridge) 200 (2195 bytes)
2026-04-26T06:20:07.871906993Z [error] 2026-04-26 06:20:07,869 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/RAI params={'format': 'json'}
2026-04-26T06:20:11.234259010Z [error] 2026-04-26 06:20:11,100 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/RAI?format=json "HTTP/1.1 200 "
2026-04-26T06:20:11.234265233Z [error] 2026-04-26 06:20:11,101 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/RAI 200 (2455 bytes)
2026-04-26T06:20:11.234270339Z [error] 2026-04-26 06:20:11,101 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURE params={'format': 'json'}
2026-04-26T06:20:11.234274349Z [error] 2026-04-26 06:20:11,134 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/EURE?format=json "HTTP/1.1 429 "
2026-04-26T06:20:11.234277737Z [error] 2026-04-26 06:20:11,135 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/EURE 429 (56 bytes)
2026-04-26T06:20:11.234281048Z [error] 2026-04-26 06:20:11,135 ERROR [basis_state.api_client] API error response body: {"error":"Rate limit exceeded","retry_after_seconds":60}
2026-04-26T06:20:11.234284561Z [error] 2026-04-26 06:20:11,135 WARNING [basis_state] Failed to fetch history for stablecoin:EURE
2026-04-26T06:20:11.234288104Z [error] 2026-04-26 06:20:11,135 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/EURS params={'format': 'json'}
